"driverref","avg_position"
"zonta",13.3947368421052632
"sweikert",13.4000000000000000
"mass",13.4210526315789474
"johnson",13.4444444444444444
"bryan",13.4444444444444444
"halford",13.4444444444444444
"kevin_magnussen",13.4610389610389610
"sato",13.4615384615384615
"lamy",13.4687500000000000
"klodwig",13.5000000000000000
"ulmen",13.5000000000000000
"burti",13.5333333333333333
"donohue",13.5333333333333333
"gene",13.5555555555555556
"blundell",13.5873015873015873
"nakano",13.6363636363636364
"manzon",13.6551724137931034
"tsunoda",13.6607142857142857
"arnoux",13.6646341463414634
"marko",13.6666666666666667
"klien",13.6666666666666667
"ganley",13.6923076923076923
"streiff",13.7222222222222222
"scarlatti",13.7333333333333333
"henry_taylor",13.8000000000000000
"claes",13.8400000000000000
"giovinazzi",13.8548387096774194
"alguersuari",13.8913043478260870
"bianchi",13.8947368421052632
"oliver",13.9215686274509804
"vergne",13.9827586206896552
"kobayashi",13.9868421052631579
"kelly",14.0000000000000000
"Cannoc",14.0000000000000000
"branson",14.0000000000000000
"jean",14.0000000000000000
"thorne",14.0000000000000000
"obrien",14.0000000000000000
"brown",14.0000000000000000
"walter",14.0000000000000000
"hart",14.0000000000000000
"branca",14.0000000000000000
"la_caze",14.0000000000000000
"titterington",14.0000000000000000
"loyer",14.0000000000000000
"chiron",14.0588235294117647
"redman",14.0769230769230769
"nilsson",14.0937500000000000
"solana",14.1250000000000000
"bourdais",14.1481481481481481
"nasr",14.1500000000000000
"pescarolo",14.1694915254237288
"wisell",14.1739130434782609
"zhou",14.1764705882352941
"mazzacane",14.1904761904761905
"cabral",14.2000000000000000
"firman",14.2142857142857143
"verstappen",14.2429906542056075
"munaron",14.2500000000000000
"bellof",14.3181818181818182
"buemi",14.3272727272727273
"miles",14.3333333333333333
"tingle",14.3333333333333333
"petrov",14.3620689655172414
"dumfries",14.3750000000000000
"alboreto",14.4186046511627907
"monteiro",14.4324324324324324
"trevor_taylor",14.4482758620689655
"pease",14.5000000000000000
"terra",14.5000000000000000
"sutil",14.5234375000000000
"wilson",14.5625000000000000
"diniz",14.5656565656565657
"rol",14.6000000000000000
"mitter",14.6000000000000000
"vukovich",14.6000000000000000
"flockhart",14.6000000000000000
"stommelen",14.7213114754098361
"lewis",14.7272727272727273
"follmer",14.7500000000000000
"comas",14.7619047619047619
